Approval Number,Trading Name,Address1,Address2,Address3,Town,Postcode,"Part A, Section III: Meat of farmed game","Part A, Section IV: Wild game meat","Part A, Section V: Minced meat, meat preparations and mechanically separated meat","Part A, Section VI: Meat products","Part A, Section VII: Live bivalve molluscs","Part A, Section VIII: Fishery products","Part A, Section IX: Raw milk and dairy products","Part A, Section X: Eggs and egg products","Part A, Section XI: Frog's legs and snails","Part A, Section XII: Rendered animal fats and greaves","Part A, Section XIII: Treated stomachs, bladders and intestines","Part A, Section XIV: Gelatine","Part A, Section XV: Collagen",Part A (All sections),Species,Remarks,CompetentAuthority,Country
WD 024,Glen Cree Salmon,,,,Newton Stewart,,,,,,,FFPP (Fresh Fishery Products Plant),,,,,,,,Section: VIII (FFPP),,,Dumfries and Galloway,Scotland
WD 028,McLelland Cheese Packing,,,,Stranraer,,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),Bovine,,Dumfries and Galloway,Scotland
WD 029,St James Smokehouse [Scotland] Ltd,,,,Annan,,,,,,,"FFPP (Fresh Fishery Products Plant), PP (Processing Plant)",,,,,,,,"Section: VIII (FFPP), Section: VIII (PP)",,,Dumfries and Galloway,Scotland
WD 030,Mostell Foods and Browns Food Group Cold Store,,,,Locharbriggs,,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,,,,,,,,"Section: V (MM), Section: V (MP), Section: VI (PP)",,,Dumfries and Galloway,Scotland
WD 031,Farmhouse Kitchen Ltd,,,,Sanquhar,,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),"Poultry, Bovine, Ovine, Porcine",,Dumfries and Galloway,Scotland
WD 034,Arla Foods UK,,,,Lockerbie,,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),Bovine,,Dumfries and Galloway,Scotland
WD 037,PS Poultry,,,,Lockerbie,,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Dumfries and Galloway,Scotland
WD 039,Wild Foods Limited,,,,Newton Stewart,,,,,,,"FFPP (Fresh Fishery Products Plant), PP (Processing Plant)",,,,,,,,"Section: VIII (FFPP), Section: VIII (PP)",,,Dumfries and Galloway,Scotland
WD 040,St James Salmon Farms Ltd,,,,Annan,,,,,,,"FFPP (Fresh Fishery Products Plant), PP (Processing Plant)",,,,,,,,"Section: VIII (FFPP), Section: VIII (PP)",,,Dumfries and Galloway,Scotland
WD 048,Barony Country Foods Ltd,,,,Lockerbie,,,,MP (Meat Preparation Establishment),PP (Processing Plant),,PP (Processing Plant),,,,,,,,"Section: V (MP), Section: VI (PP), Section: VIII (PP)",,Meat Products,Dumfries and Galloway,Scotland
WD 053,Clash Farm Pedigree Saddlebacks,,,,Stranraer,,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),"Ovine, Porcine",Meat Products,Dumfries and Galloway,Scotland
WD 055,Coastal Shellfish International Ltd,,,,Kirkcudbright,,,,,,"DC (Dispatch Centre), PC (Purification Centre)",,,,,,,,,"Section: VII (DC), Section: VII (PC)",,,Dumfries and Galloway,Scotland
WD 056,Thomsons Foodservice,,,,Dumfries,,,,,,,,,,,,,,,Section: 0 (CS),"Poultry, Bovine, Ovine, Porcine",,Dumfries and Galloway,Scotland
WD 057,Nith Valley Free Range Eggs Ltd,,,,Thornhill,,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Dumfries and Galloway,Scotland
WD 058,T E C & SJ Wilson,,,,Dumfires,,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Dumfries and Galloway,Scotland
WD 059,D G First ,,,,Dumfies,,,,,,,,,,,,,,,Section: 0 (CS),"Poultry, Bovine, Ovine, Porcine",,Dumfries and Galloway,Scotland
WD 060,South West Catering,,,,Lockerbie,,,,,,,,,,,,,,,Section: 0 (CS),,,Dumfries and Galloway,Scotland
WD 062,Mrs McMyn's ,,,,New Abbey,,,,,,,,,PP (Processing Plant),,,,,,Section: X (PP),,,Dumfries and Galloway,Scotland
WD 064,The Kedar Cheese Company,,,,Dumfries,,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Dumfries and Galloway,Scotland
WD 101,Galloway Seafoods Ltd,,,,Wigtownshire,,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Dumfries and Galloway,Scotland
WD 102 M,Rowan Glen Dairy Products Ltd,,,,Newton Stewart,,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),Bovine,,Dumfries and Galloway,Scotland
WD 103 M,Caledonian Cheese Co Ltd,,,,Stranraer,,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),Bovine,,Dumfries and Galloway,Scotland
WD 104 M,Galloway Farmhouse Cheese,,,,Newton Stewart,,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),Caprine,,Dumfries and Galloway,Scotland
WD 110,Galloway Smokehouse,,,,Newton Stewart,,,,"MP (Meat Preparation Establishment), MM (Mince Meat Establishment)",PP (Processing Plant),DC (Dispatch Centre),FFPP (Fresh Fishery Products Plant),,PP (Processing Plant),,,,,,"Section: V (MP), Section: VI (PP), Section: X (PP), Section: VII (DC), Section: V (MM), Section: VIII (FFPP)",,,Dumfries and Galloway,Scotland
DB 021,Tay Cuisine,,,,Dundee,,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,Meat Products,Dundee City,Scotland
DB 022,Gourdie Farm Associates,,,,Dundee,,,,,,,,,,,,,,,Section: 0 (CS),,,Dundee City,Scotland
DB 024,Dundee Cold Stores Ltd,,,,Dundee,,,,,,,,,,,,,,,Section: 0 (CS),,,Dundee City,Scotland
KA 003,Grant Brothers Meat Canners Ltd,,,,Galston,,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,Meat Products,East Ayrshire,Scotland
KA 008,Dunlop Dairy,,,,Dunlop,,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),"Bovine, Caprine, Ovine",,East Ayrshire,Scotland
KA 019,John W Short,,,,Kilmarnock,,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,Meat Products,East Ayrshire,Scotland
KA 031,Woody's Ice Cream Ltd,,,,Galston,,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),Bovine,,East Ayrshire,Scotland
KA 034,Browning's The Bakers Ltd,,,,Kilmarnock,,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,Meat Products,East Ayrshire,Scotland
KA 035,Corrie Mains Free Range,,,,Mauchline,,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,East Ayrshire,Scotland
KA 036,"Pollok Williamson, T/A J L McGarrity",,,,Kilmarnock,,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,East Ayrshire,Scotland
KA 037,Pathhead Bakery Ltd,,,,New Cumnock,,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,East Ayrshire,Scotland
KA 038,Scottish Charcuterie Company,,,,Kilmarnock,,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,East Ayrshire,Scotland
KA 040,R & R B Cunningham,,,,Mauchline,,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),Bovine,,East Ayrshire,Scotland
KA 041,W W Wales Ltd,,,,Hurlford,,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,East Ayrshire,Scotland
KD 057,Stobbs The Baker,,,,Ayr,,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,East Ayrshire,Scotland
UK-7-007,Forth Farm,,,,Stewarton,,,,,,,,,PP (Processing Plant),,,,,,Section: X (PP),,,East Ayrshire,Scotland
SD 001,Charcuterie Continental Limited,,,,Twechar,,,,MP (Meat Preparation Establishment),PP (Processing Plant),,,,,,,,,,"Section: VI (PP), Section: V (MP)","Bovine, Porcine",Meat Products,East Dunbartonshire,Scotland
SD 008,Campsie Glen Smokehouse Limited,,,,Kirkintilloch,,,,,,,FFPP (Fresh Fishery Products Plant),,,,,,,,Section: VIII (FFPP),,,East Dunbartonshire,Scotland
UK-7-319,John Laird & Son,,,,Glasgow,,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,East Dunbartonshire,Scotland
EB 002,Belhaven Smokehouse Ltd,,,,Dunbar,,,,,PP (Processing Plant),,"FFPP (Fresh Fishery Products Plant), PP (Processing Plant)",,,,,,,,"Section: VI (PP), Section: VIII (FFPP), Section: VIII (PP)",Porcine,Meat Products,East Lothian,Scotland
EB 007,J K Thomson,,,,East Lothian,,,,,,,"FFPP (Fresh Fishery Products Plant), PP (Processing Plant)",,,,,,,,"Section: VIII (FFPP), Section: VIII (PP)",,,East Lothian,Scotland
EB 015,Fenton Barns (Scotland) Ltd,,,,North Berwick,,,,MP (Meat Preparation Establishment),PP (Processing Plant),,,,,,,,,,"Section: VI (PP), Section: V (MP)","Poultry, Bovine, Ovine, Porcine",Meat Products,East Lothian,Scotland
EB 023,Findlays Famous Haggis,,,,Musselburgh,,,,"MP (Meat Preparation Establishment), MM (Mince Meat Establishment)",PP (Processing Plant),,,,,,,,,,"Section: V (MP), Section: VI (PP), Section: V (MM)",Bovine,,East Lothian,Scotland
EB 025,Atlantic Seafish,,,,East Lothian,,,,,,,"FFPP (Fresh Fishery Products Plant), PP (Processing Plant)",,,,,,,,"Section: VIII (FFPP), Section: VIII (PP)",,,East Lothian,Scotland
EB 027,Yester Farm Dairies Ltd,,,,East Lothian,,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,East Lothian,Scotland
EB 029,East Lothian Larder,,,,East Lothian,,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,East Lothian,Scotland
EB 030,Pie Not,,,,Musselburgh,,,,,PP (Processing Plant),,PP (Processing Plant),,,,,,,,"Section: VI (PP), Section: VIII (PP)",,Meat Products,East Lothian,Scotland
EB 031,Yester Farm Dairies Ltd,,,,Haddington,,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,East Lothian,Scotland
EC 001,D and R Stevenson,,,,Glasgow,,,,,PP (Processing Plant),,,,,,,,,,"Section: VI (PP), Section: 0 (RW)",Bovine,Meat Products,East Renfrewshire,Scotland
AB 027,Bertrams Quality Butchers,,,,Angus,,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Falkirk,Scotland
FA 003,John Pollock and Sons,,,,Falkirk,,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),Bovine,,Falkirk,Scotland
FA 006,Malcolm Allan Ltd,,,,Larbert,,,,,,,,,,,,,,,Section: 0 (CS),,,Falkirk,Scotland
FA 007,Malcolm Allan Ltd,,,,Falkirk,,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),"Bovine, Poultry",,Falkirk,Scotland
FA 008,T Johnston Butchers,,,,Falkirk,,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,,,,,,,,"Section: V (MM), Section: V (MP), Section: VI (PP)",Bovine,,Falkirk,Scotland
FA 009,Patricks of Camelon Ltd,,,,Falkirk,,,,MP (Meat Preparation Establishment),PP (Processing Plant),,,,,,,,,,"Section: V (MP), Section: VI (PP)","Bovine, Ovine, Porcine",,Falkirk,Scotland
FA 011,Oliphant Bakers Ltd,,,,Falkirk,,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,,,,,,,,"Section: V (MM), Section: V (MP), Section: VI (PP)","Poultry, Bovine, Porcine",,Falkirk,Scotland
FA 014,MGW Seafoods Ltd,,,,Falkirk,,,,,,,"FFPP (Fresh Fishery Products Plant), PP (Processing Plant)",,,,,,,,"Section: VIII (FFPP), Section: VIII (PP)",,,Falkirk,Scotland
FA 015,Dhillons Ltd,,,,Falkirk,,,,MP (Meat Preparation Establishment),PP (Processing Plant),,,,,,,,,,"Section: VI (PP), Section: V (MP)","Poultry, Bovine, Ovine",,Falkirk,Scotland
FA 016,Four In One Fast Food Restaurants Ltd,,,,Falkirk,,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Falkirk,Scotland
FA 017,Caledonian Produce,,,,Falkirk,,,,MP (Meat Preparation Establishment),PP (Processing Plant),,,,,,,,,,"Section: VI (PP), Section: V (MP)","Poultry, Ovine, Porcine",Meat Products,Falkirk,Scotland
KC 102,Eat and Go Food Co Ltd,,,,Kirkcaldy,,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),"Poultry, Bovine",,Fife,Scotland
KC 107,Glen Fisheries,,,,Kirkcaldy,,,,,,,"FFPP (Fresh Fishery Products Plant), PP (Processing Plant)",,,,,,,,"Section: VIII (FFPP), Section: VIII (PP)",,,Fife,Scotland
KC 115,Stenhouse Meats,,,,East Wemyss,,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),Porcine,,Fife,Scotland
KC 116,N and D Walsh,,,,Leven,,,,,,,,,,,PP (Processing Plant),,,,Section: XII (PP),,,Fife,Scotland
KC 117,Carlton Bakeries Ltd,,,,Kirkcaldy,,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),Bovine,,Fife,Scotland
KC 120,Wm McMillan Ltd,,,,Glenrothes,,,,MP (Meat Preparation Establishment),PP (Processing Plant),,,PP (Processing Plant),,,,,,,"Section: IX (PP), Section: V (MP), Section: VI (PP)",Bovine,,Fife,Scotland
KC 121,Noble Foods Ltd,,,,Kirkaldy,,,,,,,,,LEP (Liquid Egg Plant),,,,,,Section: X (LEP),,,Fife,Scotland
KC 122,Puddledub Pork and Fifeshire Bacon Co Ltd,,,,Auchtertool,,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,,,,,,,,"Section: V (MM), Section: V (MP), Section: VI (PP)",Porcine,,Fife,Scotland
KC 126,R Watson Butchers,,,,Burntisland,,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,,,,,,,,"Section: V (MM), Section: V (MP), Section: VI (PP)","Bovine, Porcine",,Fife,Scotland
KC 127,Fife Butchers,,,,Glenrothes,,,,MP (Meat Preparation Establishment),PP (Processing Plant),,,,,,,,,,"Section: V (MP), Section: VI (PP)",Bovine,"Blood Products, Meat Products",Fife,Scotland
KC 131,R T Stuart Ltd,,,,Methil,,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,,,,,,,,"Section: VI (PP), Section: V (MM), Section: V (MP)",Bovine,"Blood Products, Meat Products",Fife,Scotland
KC 136,Glen Bakers Ltd,,,,Glenrothes,,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,Meat Products,Fife,Scotland
KC 137,Buckhaven Shellfish Supplies Ltd,,,,Methil,,,,,,DC (Dispatch Centre),,,,,,,,,Section: VII (DC),,,Fife,Scotland
KC 138,The Buffalo Farm,,,,Kirkcaldy,,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,,,,,,,,"Section: V (MM), Section: V (MP), Section: VI (PP)","Bovine, Ovine, Porcine",Meat Products,Fife,Scotland
KC 139,Scottish Jerky.com,,,,Glenrothes,,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),Bovine,Meat Products,Fife,Scotland
KC 201,Graham's The Family Dairy (Milk Products) Limited,,,,Cowdenbeath,,,,,,DC (Dispatch Centre),PP (Processing Plant),PP (Processing Plant),,,,,,,"Section: IX (PP), Section: VII (DC), Section: VIII (PP)",,,Fife,Scotland
KC 207,S M Bayne & Co Ltd,,,,Lochore,,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,,,,,,,,"Section: V (MM), Section: V (MP), Section: VI (PP)","Poultry, Bovine",,Fife,Scotland
KC 208,Wm Stephen (Bakers) Ltd,,,,Dunfermline,,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),"Poultry, Bovine, Porcine",Meat Products,Fife,Scotland
KC 213,Marine Harvest Consumer Products,,,,Rosyth,,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Fife,Scotland
KC 214,Scottish Crab Products,,,,Dalgety Bay,,,,,,DC (Dispatch Centre),FFPP (Fresh Fishery Products Plant),,,,,,,,"Section: VII (DC), Section: VIII (FFPP)",,,Fife,Scotland
KC 215,Graham's The Family Dairy (Milk Products) Limited,,,,Fife,,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Fife,Scotland
KC 216,Palmer and Harvey McLean Ltd,,,,Dunfermline,,,,,,,,,,,,,,,Section: 0 (CS),,,Fife,Scotland
KC 217,Nelson's of Culross,,,,Fife,,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,Meat Products,Fife,Scotland
KC 309,G & J Wilson Limited,,,,St Monans,,,,,,,"FFPP (Fresh Fishery Products Plant), PP (Processing Plant)",,,,,,,,"Section: VIII (FFPP), Section: VIII (PP)",,,Fife,Scotland
KC 310,Ru an Fhodar,,,,St Monans,,,,,,,"FFPP (Fresh Fishery Products Plant), PP (Processing Plant)",,,,,,,,"Section: VIII (FFPP), Section: VIII (PP)",,,Fife,Scotland
KC 315,Argo Fish,,,,St Monans,,,,,,,"FFPP (Fresh Fishery Products Plant), PP (Processing Plant)",,,,,,,,"Section: VIII (FFPP), Section: VIII (PP)",,,Fife,Scotland
KC 321,Woody's Shellfish,,,,Anstruther,,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Fife,Scotland
KC 326,St Andrews Farmhouse Cheese Co,,,,Pittenweem,,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),Bovine,,Fife,Scotland
KC 327,East Pier Smokehouse,,,,St Monans,,,,MP (Meat Preparation Establishment),PP (Processing Plant),DC (Dispatch Centre),,,,,,,,,"Section: V (MP), Section: VI (PP), Section: VII (DC)",Bovine,Meat Products,Fife,Scotland
KC 329,East Neuk Shellfish Ltd,,,,St Monans,,,,,,PC (Purification Centre),PP (Processing Plant),,,,,,,,"Section: VII (PC), Section: VIII (PP)",,,Fife,Scotland
KC 331,The Fisherman's Larder,,,,St Monans,,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Fife,Scotland
1100,2 Sisters Poultry Ltd (TA 2 Sisters Coupar Angus),,,,Coupar Angus,,,,MM (Mince Meat Establishment),,,,,,,,,,,"Section: II (CP), Section: II (SH), Section: V (MM)",Poultry,,Food Standards Scotland,Scotland
1101,Anglo Beef Processors UK T/A ABP Perth,,,,Perth,,,,MM (Mince Meat Establishment),PP (Processing Plant),,,,,,,PP (Processing Plant),,,"Section: I (SH), Section: V (MM), Section: VI (PP), Section: XIII (PP)",Bovine,Meat Products,Food Standards Scotland,Scotland
1103,Neerock Limited (T/A Woodhead Brothers),,,,Turriff,,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,,,,PP (Processing Plant),PP (Processing Plant),,,"Section: I (SH), Section: V (MM), Section: V (MP), Section: VI (PP), Section: XII (PP), Section: XIII (PP)","Bovine, Ovine",Meat Products,Food Standards Scotland,Scotland
1106,2Sisters Red Meat Limited (T/A McIntosh Donald),,,,Aberdeen,,,,MM (Mince Meat Establishment),,,,,,,,,,,"Section: 0 (CS), Section: 0 (RW), Section: V (MM), Section: I (SH), Section: I (CP)","Bovine, Ovine",,Food Standards Scotland,Scotland
1107,James Chapman (Butchers) Ltd,,,,Wishaw,,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,,,,PP (Processing Plant),,,,"Section: V (MM), Section: V (MP), Section: VI (PP), Section: XII (PP), Section: I (CP)",,Meat Products,Food Standards Scotland,Scotland
1110,Donald Russell Ltd,,,,Inverurie,,,CP (Cutting Plant),"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",,,,,,,,,,,"Section: V (MM), Section: V (MP), Section: IV (CP), Section: I (CP)",,,Food Standards Scotland,Scotland
1118,Western Isles Council (T/A Stornoway Abattoir),,,,Stornoway,,,,MM (Mince Meat Establishment),PP (Processing Plant),,,,,,PP (Processing Plant),PP (Processing Plant),,,"Section: V (MM), Section: VI (PP), Section: XII (PP), Section: XIII (PP), Section: I (SH), Section: I (CP)","Bovine, Caprine, Ovine, Porcine",Meat Products,Food Standards Scotland,Scotland
1121,Scotbeef Inverurie Ltd,,,,Inverurie,,,,,PP (Processing Plant),,,,,,,PP (Processing Plant),,,"Section: 0 (RW), Section: VI (PP), Section: XIII (PP), Section: I (SH), Section: I (CP)","Bovine, Caprine, Ovine, Porcine","Treated stomachs, bladders and intestines",Food Standards Scotland,Scotland
1124,Dunbia (Elgin) Limited ,,,,Elgin,,,,MP (Meat Preparation Establishment),,,,,,,,,,,"Section: I (CP), Section: I (SH), Section: V (MP)","Bovine, Caprine, Ovine, Porcine, Farmed Land Mammals other than Domestic Ungulates",,Food Standards Scotland,Scotland
1125,John M Munro Ltd,,,,Dingwall,,"SH (Slaughterhouse), CP (Cutting Plant)",GHE (Game Handling Establishment),"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,,,,,,,,"Section: 0 (RW), Section: I (CP), Section: IV (GHE), Section: V (MM), Section: V (MP), Section: VI (PP), Section: I (SH), Section: III (SH), Section: III (CP)","Bovine, Caprine, Ovine, Porcine, Farmed Land Mammals other than Domestic Ungulates",Meat Products,Food Standards Scotland,Scotland
1130,Scotbeef Inverurie Ltd,,,,Inverurie,,,,MM (Mince Meat Establishment),,,,,,,,,,,"Section: 0 (RW), Section: V (MM), Section: I (CP)",,,Food Standards Scotland,Scotland
1134,Dr Timothy J Fletcher and Nicola R Fletcher (T/A Reediehill Deer Farm) ,,,,Auchtermuchty,,,,,,,,,,,,,,,Section: I (SH),Farmed Land Mammals other than Domestic Ungulates,,Food Standards Scotland,Scotland
1135,Archibald MaClean t/a Gearadhmor,,,,Isle of Barra,,,,MM (Mince Meat Establishment),,,,,,,,,,,"Section: V (MM), Section: I (SH), Section: I (CP)","Bovine, Caprine, Ovine, Porcine",,Food Standards Scotland,Scotland
1136,Quality Pork Processors Limited,,,,Brechin,,,,,,,,,,,,PP (Processing Plant),,,"Section: I (SH), Section: I (CP), Section: XIII (PP)",Porcine,,Food Standards Scotland,Scotland
1139,Jameel Poultry Limited,,,,Glasgow,,,,MM (Mince Meat Establishment),,,,,,,,,,,"Section: 0 (CS), Section: 0 (RW), Section: II (CP), Section: I (CP), Section: V (MM)",,,Food Standards Scotland,Scotland
1142,Nazar Scotland Ltd ,,,,Glasgow,,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",,,,,,,,,,,"Section: 0 (RW), Section: II (CP), Section: V (MM), Section: I (CP), Section: V (MP), Section: 0 (CS)",,,Food Standards Scotland,Scotland
1145,Vicars Game (Scotland) Ltd,,,,Perth,,,GHE (Game Handling Establishment),,,,,,,,,,,,"Section: 0 (CS), Section: IV (GHE)",,,Food Standards Scotland,Scotland
1147,Thos A Shaw,,,,Motherwell,,,,,,,,,,,,,,,"Section: I (CP), Section: 0 (CS)",,,Food Standards Scotland,Scotland
1150,"Ali Cetin, Dogan Kaya & Ercan Kaya (T/A The Double Doner Kebab Company)",,,,Glasgow,,,,MP (Meat Preparation Establishment),,,,,,,,,,,"Section: I (CP), Section: II (CP), Section: V (MP)",,,Food Standards Scotland,Scotland
1151,Navstar Limited T/A Efes Navstar,,,,Glasgow,,,,MP (Meat Preparation Establishment),,,,,,,,,,,"Section: 0 (CS), Section: V (MP), Section: I (CP)",,,Food Standards Scotland,Scotland
1152,B & M Sausages Ltd,,,,Glasgow,,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,,,,,,,,"Section: V (MM), Section: V (MP), Section: VI (PP), Section: I (CP)",,Meat Products,Food Standards Scotland,Scotland
1154,Lothian Catering Butchers Ltd,,,,Livingston,,,CP (Cutting Plant),"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",,,,,,,,,,,"Section: 0 (RW), Section: II (CP), Section: IV (CP), Section: V (MM), Section: V (MP), Section: I (CP)",,,Food Standards Scotland,Scotland
1156,Orkney Meat Processors Limited,,,,Kirkwall,,,,,,,,,,,,,,,"Section: I (SH), Section: I (CP)","Bovine, Ovine, Porcine",,Food Standards Scotland,Scotland
1160,R Miller Ltd (Meat Wholesaler),,,,Grantown-on-Spey,,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,,,,,,,,"Section: V (MM), Section: V (MP), Section: VI (PP), Section: I (SH), Section: I (CP), Section: 0 (RW)","Bovine, Caprine, Ovine, Porcine",Meat Products,Food Standards Scotland,Scotland
1201,Downfield Limited,,,,Cupar,,"SH (Slaughterhouse), CP (Cutting Plant)","CP (Cutting Plant), GHE (Game Handling Establishment)",,,,,,,,,,,,"Section: I (SH), Section: III (SH), Section: III (CP), Section: I (CP), Section: IV (CP), Section: IV (GHE), Section: 0 (RW), Section: 0 (CS)","Ovine, Farmed Land Mammals other than Domestic Ungulates, Wild Ungulates, Wild Land mammals other than Wild Ungulates and Wild Lagomorphs, Caprine",,Food Standards Scotland,Scotland
1202,Hugh Black & Sons Ltd,,,,Wishaw,,,,,,,,,,,,,,,Section: I (CP),,,Food Standards Scotland,Scotland
1203,Highland Drovers Limited,,,,Abernethy By Newburgh,,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,,,,,,,,"Section: 0 (CS), Section: 0 (RW), Section: I (CP), Section: V (MM), Section: V (MP), Section: VI (PP)",,Meat Products,Food Standards Scotland,Scotland
1516,James Chapman (Butchers) Ltd T/A  Shotts Abattoir,,,,Shotts,,,,,,,,,,,,,,,"Section: I (CP), Section: I (SH)","Bovine, Caprine, Ovine, Porcine",,Food Standards Scotland,Scotland
1517,Wishaw Abattoir Ltd,,,,Motherwell,,"SH (Slaughterhouse), CP (Cutting Plant)",,,,,,,,,,,,,"Section: I (CP), Section: I (SH), Section: 0 (CS), Section: III (SH), Section: III (CP)","Bovine, Caprine, Ovine, Porcine, Farmed Land Mammals other than Domestic Ungulates",,Food Standards Scotland,Scotland
1529,Belcher Food Products Ltd,,,,Prestwick,,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,,,,,,,,"Section: I (CP), Section: V (MM), Section: V (MP), Section: VI (PP)",,Meat Products,Food Standards Scotland,Scotland
1530,Braveheart Beef (Scotland) Ltd,,,,Bonnybridge,,,,,,,,,,,,,,,Section: I (CP),,,Food Standards Scotland,Scotland
1533,JOHN SCOTT MEAT (PAISLEY) LIMITED (T/A WM BOSOMWORTH) ,,,,Paisley,,,,,,,,,,,,,,,"Section: 0 (CS), Section: I (CP)",,,Food Standards Scotland,Scotland
1535,Sandyford Abattoir (Paisley) Ltd,,,,Paisley,,,,,PP (Processing Plant),,,,,,,PP (Processing Plant),,,"Section: I (SH), Section: VI (PP), Section: XIII (PP), Section: I (CP)","Bovine, Caprine, Ovine, Porcine","Treated stomachs, bladders and intestines",Food Standards Scotland,Scotland
1536,JOHN SCOTT MEAT (PAISLEY) LTD ,,,,Paisley,,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",,,,,,,,,,,"Section: 0 (CS), Section: I (CP), Section: V (MM), Section: V (MP)",,,Food Standards Scotland,Scotland
1541,AK Stoddart Ltd,,,,Ayr,,,,,PP (Processing Plant),,,,,,,PP (Processing Plant),,,"Section: I (CP), Section: I (SH), Section: VI (PP), Section: XIII (PP)","Bovine, Ovine, Porcine","Meat Products, Treated stomachs, bladders and intestines",Food Standards Scotland,Scotland
1542,John Robertson & Sons (Ham Curers) Ltd,,,,Ardrossan,,,,"MP (Meat Preparation Establishment), MM (Mince Meat Establishment)",PP (Processing Plant),,,,,,,,,,"Section: 0 (CS), Section: 0 (RW), Section: I (CP), Section: I (SH), Section: V (MP), Section: VI (PP), Section: V (MM)",Porcine,Meat Products,Food Standards Scotland,Scotland
